study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB5348	SAMEA2401386	ERX425524	ERR459177	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459177/ERR459177.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459177/120903_0219_D0PT7ACXX_6_SA-PE-022.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459177
PRJEB5348	SAMEA2401387	ERX425525	ERR459178	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459178/ERR459178.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459178/120903_0219_D0PT7ACXX_7_SA-PE-022.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459178
PRJEB5348	SAMEA2401388	ERX425526	ERR459179	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459179/ERR459179.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459179/120903_0219_D0PT7ACXX_1_SA-PE-044.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459179
PRJEB5348	SAMEA2401389	ERX425527	ERR459180	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459180/ERR459180.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459180/120903_0219_D0PT7ACXX_2_SA-PE-044.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459180
PRJEB5348	SAMEA2401390	ERX425528	ERR459181	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459181/ERR459181.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459181/120903_0219_D0PT7ACXX_3_SA-PE-044.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459181
PRJEB5348	SAMEA2401391	ERX425529	ERR459182	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459182/ERR459182.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459182/120903_0219_D0PT7ACXX_4_SA-PE-044.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459182
PRJEB5348	SAMEA2401392	ERX425530	ERR459183	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459183/ERR459183.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459183/120903_0219_D0PT7ACXX_5_SA-PE-044.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459183
PRJEB5348	SAMEA2401393	ERX425531	ERR459184	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459184/ERR459184.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459184/120903_0219_D0PT7ACXX_6_SA-PE-044.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459184
PRJEB5348	SAMEA2401394	ERX425532	ERR459185	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459185/ERR459185.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459185/120903_0219_D0PT7ACXX_7_SA-PE-044.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459185
PRJEB5348	SAMEA2401395	ERX425533	ERR459186	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459186/ERR459186.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459186/120903_0219_D0PT7ACXX_1_SA-PE-094.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459186
